['12758', '13830', 1, 852, 882, 30]
['12173', '13830', 1, 1141, 1172, 31]
['12173', '13830', 1, 395, 426, 31]
['13830', '12173', 1, 462, 488, 26]
['12758', '12173', 1, 511, 540, 29]
['12173', '12758', 1, 435, 469, 34]
['12402', '12173', 1, 530, 560, 30]
['12173', '12402', 1, 448, 489, 41]
['12173', '12982', 1, 444, 474, 30]
['12982', '12173', 1, 511, 539, 28]
['13830', '12173', 1, 1208, 1233, 25]
['13830', '12402', 1, 553, 583, 30]
['13830', '12173', 1, 949, 985, 36]
['12758', '13830', 1, 815, 841, 26]
['13830', '12758', 1, 886, 942, 56]
['12402', '12173', 1, 1078, 1119, 41]
['12173', '12402', 1, 995, 1040, 45]
['12173', '12982', 1, 690, 719, 29]
['13830', '12173', 1, 537, 557, 20]
['12173', '12758', 1, 775, 809, 34]
['12402', '12173', 1, 621, 659, 38]
['13830', '12173', 1, 504, 527, 23]
['12173', '13830', 1, 437, 462, 25]
['13830', '12173', 1, 625, 654, 29]
['12173', '12758', 1, 888, 933, 45]
['12173', '12982', 1, 1085, 1118, 33]
['12982', '12173', 1, 1153, 1176, 23]
['12173', '12758', 1, 583, 614, 31]
['12982', '12173', 1, 895, 919, 24]
['12173', '12982', 1, 825, 856, 31]
['12173', '12758', 1, 938, 975, 37]
['12173', '12982', 1, 918, 954, 36]
['13830', '12173', 1, 713, 745, 32]
['12758', '12173', 1, 983, 1023, 40]
['12982', '12173', 1, 987, 1016, 29]
['12402', '12173', 1, 794, 835, 41]
['12173', '12402', 1, 950, 1017, 67]
['13830', '12173', 1, 659, 686, 27]
['12173', '12982', 1, 785, 818, 33]
['12982', '12173', 1, 855, 884, 29]
['13830', '12173', 1, 371, 400, 29]
['12173', '13830', 1, 304, 334, 30]
['12758', '12173', 1, 660, 698, 38]
['12173', '12758', 1, 656, 695, 39]
['13830', '12982', 1, 650, 705, 55]
['12173', '12982', 1, 1044, 1070, 26]
['12982', '12173', 1, 1112, 1129, 17]
['13830', '12173', 1, 848, 882, 34]
['12173', '13830', 1, 815, 846, 31]
['12758', '12173', 1, 429, 459, 30]
['12173', '12758', 1, 355, 383, 28]
['13830', '12982', 1, 1102, 1166, 64]
['12173', '12982', 1, 1164, 1198, 34]
['12982', '12173', 1, 1232, 1259, 27]
['12173', '13830', 1, 878, 908, 30]
['12758', '12173', 1, 698, 733, 35]
['12173', '12758', 1, 621, 653, 32]
['12173', '12402', 1, 786, 840, 54]
['12173', '13830', 1, 1065, 1095, 30]
['12173', '12982', 1, 1006, 1039, 33]
['12982', '12173', 1, 1074, 1094, 20]
['12402', '12173', 1, 1262, 1291, 29]
['12173', '12402', 1, 1180, 1220, 40]
['12982', '13830', 1, 759, 793, 34]
['12173', '13830', 1, 645, 676, 31]
['12758', '12173', 1, 1132, 1168, 36]
['12173', '12758', 1, 1055, 1089, 34]
['13830', '12758', 1, 918, 953, 35]
['12173', '12758', 1, 730, 768, 38]
['13830', '12173', 1, 1133, 1161, 28]
['12758', '12173', 1, 733, 768, 35]
['12758', '13830', 1, 640, 666, 26]
['12173', '12758', 1, 980, 1020, 40]
['12758', '12173', 1, 1057, 1102, 45]
['12982', '13830', 1, 643, 684, 41]
['12758', '12173', 1, 967, 1010, 43]
['12402', '12173', 1, 903, 948, 45]
['12173', '12402', 1, 711, 757, 46]
['13830', '12173', 1, 1016, 1080, 64]
['12173', '13830', 1, 795, 843, 48]
['12402', '12173', 1, 950, 987, 37]
['12173', '12402', 1, 867, 915, 48]
['12173', '12982', 1, 506, 538, 32]
['12982', '12173', 1, 547, 569, 22]
['13830', '12173', 1, 681, 712, 31]
['12173', '13830', 1, 470, 496, 26]
['12758', '12173', 1, 1207, 1257, 50]
['12173', '12758', 1, 1132, 1172, 40]
['12402', '12173', 1, 1192, 1235, 43]
['12173', '12402', 1, 1110, 1151, 41]
['12982', '12173', 1, 1177, 1220, 43]
['12758', '12173', 1, 780, 815, 35]
['12173', '12758', 1, 563, 600, 37]
['12173', '13830', 1, 555, 586, 31]
['12173', '12982', 1, 1305, 1342, 37]
['12982', '12173', 1, 1372, 1397, 25]
['13830', '12173', 1, 1043, 1074, 31]
['12173', '13830', 1, 975, 1004, 29]
['12173', '12982', 1, 478, 503, 25]
['12173', '13830', 1, 930, 967, 37]
['13830', '12173', 1, 998, 1034, 36]
['12758', '12173', 1, 480, 514, 34]
['12173', '12758', 1, 404, 439, 35]
['13830', '12982', 1, 718, 771, 53]
['13830', '12758', 1, 715, 740, 25]
['12173', '12982', 1, 753, 785, 32]
['12173', '12982', 1, 617, 642, 25]
['12982', '12173', 1, 686, 713, 27]
['12758', '12173', 1, 924, 959, 35]
['12173', '12758', 1, 845, 878, 33]
['12173', '12982', 1, 883, 924, 41]
['12982', '12173', 1, 954, 990, 36]
['12173', '13830', 1, 696, 728, 32]
['12758', '12173', 1, 1020, 1059, 39]
['13830', '12982', 1, 866, 930, 64]
['12173', '12402', 1, 1077, 1122, 45]
['12402', '12173', 1, 1159, 1196, 37]
['12758', '12173', 1, 578, 608, 30]
['12173', '12758', 1, 502, 541, 39]
['13830', '12173', 1, 572, 598, 26]
['12173', '13830', 1, 504, 532, 28]
['12173', '12982', 1, 1219, 1248, 29]
['12982', '12173', 1, 1286, 1305, 19]
['12173', '12402', 1, 1040, 1085, 45]
['12402', '12173', 1, 1122, 1158, 36]
['12173', '12402', 1, 641, 687, 46]
['12402', '12173', 1, 724, 770, 46]
['12173', '13830', 1, 613, 645, 32]
['12402', '12173', 1, 1229, 1263, 34]
['12173', '12402', 1, 1147, 1194, 47]
['12982', '12173', 1, 823, 848, 25]
['13830', '12173', 1, 806, 829, 23]
['12173', '13830', 1, 777, 809, 32]
['12758', '12173', 1, 1283, 1319, 36]
['12173', '12758', 1, 1208, 1241, 33]
['13830', '12173', 1, 878, 934, 56]
['12982', '13830', 1, 575, 617, 42]
['12173', '12982', 1, 574, 608, 34]
['13830', '12173', 1, 1376, 1402, 26]
['12173', '13830', 1, 1310, 1332, 22]
['12173', '13830', 1, 591, 614, 23]
['13830', '12173', 1, 767, 792, 25]
['13830', '12173', 1, 1104, 1126, 22]
['12173', '13830', 1, 1036, 1058, 22]
['12758', '12173', 1, 845, 923, 78]
['13830', '12173', 1, 1252, 1265, 13]
['12173', '13830', 1, 1185, 1209, 24]
['12173', '13830', 1, 735, 762, 27]
['13830', '12173', 1, 1294, 1317, 23]
['12173', '13830', 1, 1227, 1263, 36]
['12173', '12982', 1, 312, 337, 25]
['12982', '12173', 1, 377, 398, 21]
